prefecture,url
okayama,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=66&block_no=47768&year=2024&month=07&day=7&view=a1
hiroshima,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=67&block_no=47765&year=2024&month=07&day=7&view=a1
shimane,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=68&block_no=47741&year=2024&month=07&day=7&view=a1
tottori,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=69&block_no=47746&year=2024&month=07&day=7&view=a1
tokushima,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=71&block_no=47895&year=2024&month=07&day=7&view=a1
kagawa,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=72&block_no=47891&year=2024&month=07&day=7&view=a1
ehime,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=73&block_no=47887&year=2024&month=07&day=7&view=a1
kochi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=74&block_no=47893&year=2024&month=07&day=7&view=a1
yamaguchi,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=81&block_no=47784&year=2024&month=07&day=7&view=a1
fukuoka,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=82&block_no=47807&year=2024&month=07&day=7&view=a1
oita,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=83&block_no=47815&year=2024&month=07&day=7&view=a1
nagasaki,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=84&block_no=47817&year=2024&month=07&day=7&view=a1
saga,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=85&block_no=47813&year=2024&month=07&day=7&view=a1
kumamoto,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=86&block_no=47819&year=2024&month=07&day=7&view=a1
miyazaki,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=87&block_no=47830&year=2024&month=07&day=7&view=a1
kagoshima,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=88&block_no=47827&year=2024&month=07&day=7&view=a1
okinawa,https://www.data.jma.go.jp/stats/etrn/view/daily_s1.php?prec_no=91&block_no=47936&year=2024&month=07&day=7&view=a1
